artist,title,popularity,key
Oasis,Wonderwall,29469,A Major
Eric Clapton,Cocaine,27561,A Major
Adele,Someone Like You,20716,A Major
Toto,Africa,16198,A Major
Bastille,Pompeii,14697,A Major
Michael Jackson,Billie Jean,12203,A Major
Led Zeppelin,Rock and Roll,12142,A Major
Pink Floyd,Time,11931,A Major
Linkin Park,Numb,11780,A Major
Eric Clapton,Tears in Heaven,10724,A Major
Daft Punk,Get Lucky,10412,A Major
"Earth, Wind & Fire",September,10286,A Major
The Beatles,Get Back,10058,A Major
Jimi Hendrix,Foxy Lady,9782,A Major
Arctic Monkeys,R U Mine?,9542,A Major
The Beatles,Here Comes the Sun,8564,A Major
Old Crow Medicine Show,Wagon Wheel,7821,A Major
The Beatles,In My Life,7410,A Major
Blind Melon,No Rain,7079,A Major
Pearl Jam,Alive,7075,A Major
ABBA,Dancing Queen,6919,A Major
Christopher Cross,Arthur’s Theme,6888,A Major
Guns N’ Roses,Paradise City,6857,A Major
Evanescence,My Immortal,6834,A Major
Ozzy Osbourne,Crazy Train,6764,A Major
REO Speedwagon,Can’t Fight This Feeling,6693,A Major
Chris Isaak,Wicked Game,6404,A Major
Snow Patrol,Chasing Cars,6203,A Major
Yiruma,River Flows In You,6154,A Major
Ed Sheeran,The A Team,6020,A Major
Aerosmith,Sweet Emotion,5723,A Major
Led Zeppelin,Black Dog,5473,A Major
Terence Trent D’Arby,Sign Your Name,5022,A Major
The Band,Weight,4964,A Major
Aaliyah,I Don’t Wanna,4941,A Major
Bob Marley,Is This Love,4928,A Major
Commodores,Brick House,4816,A Major
John Mayer,I'm Gonna Find Another You,4796,A Major
a-ha,Take On Me,4791,A Major
Lynyrd Skynyrd,Tuesday’s Gone,4745,A Major
Journey,"Lovin’, Touchin’, Squeezin",4718,A Major
Led Zeppelin,Ten Years Gone,4659,A Major
Michael Jackson,Bad,4541,A Major
Adele,Someone Like You (live acoustic),4538,A Major
Slipknot,Snuff,4403,A Major
Whitney Houston,I Will Always Love You,4389,A Major
Mazzy Star,Fade Into You,4365,A Major
Daft Punk,"Harder, Better, Faster, Stronger",4286,A Major
John Mayer,Crossroads,4226,A Major
Sting,Shape of My Heart,4184,A Major
The Weeknd,Echoes of Silence,4008,A Major
Eric Clapton,Crossroads,3968,A Major
Led Zeppelin,Immigrant Song,3826,A Major
blink‐182,All of This,3747,A Major
John Mayer,In Repair,3717,A Major
Seven Mary Three,Cumbersome,3679,A Major
Toto,Hold The Line,3637,A Major
Disturbed,The Sound of Silence,3626,A Major
Kid Cudi,Erase Me,3602,A Major
Céline Dion,To Love You More,3587,A Major
Pantera,Walk,3525,A Major
Electric Light Orchestra,Rock ’n’ Roll Is King,3516,A Major
Ben E. King,Stand by Me,3515,A Major
Europe,The Final Countdown,3498,A Major
Oasis,Champagne Supernova,3477,A Major
Led Zeppelin,Hey Hey What Can I Do,3430,A Major
U2,Desire,3410,A Major
Avicii,I Could Be The One (radio edit),3406,A Major
John Denver,Take Me Home Country Road,3396,A Major
Lady Gaga,Yoü and I,3393,A Major
James Taylor,You've Got a Friend,3365,A Major
Bob Marley,Stir It Up,3351,A Major
Eminem,Superman,3350,A Major
The Police,Message in a Bottle,3295,A Major
+44,No It Isn’t,3281,A Major
Drake,Hold On We're Going Home,3253,A Major
Meghan Trainor,All About That Bass,3236,A Major
Perfect,Nie płacz Ewka,3234,A Major
Bob Marley,Three Little Birds,3193,A Major
Angels & Airwaves,A Little’s Enough,3187,A Major
Eagles,Love Will Keep Us Alive,3177,A Major
Lady Gaga,The Edge of Glory,3165,A Major
The Beatles,Help!,3160,A Major
The Weeknd,The Knowing,3158,A Major
Stevie Wonder,Living for the City,3126,A Major
Fall Out Boy,"What a Catch, Donnie",3068,A Major
Lana Del Rey,Video Games,3056,A Major
B.o.B,Airplanes,3048,A Major
Bachman-Turner Overdrive,You Ain’t Seen Nothing Yet,3025,A Major
Beyoncé,Halo,3020,A Major
Matchbox Twenty,Unwell,2987,A Major
Nirvana,Breed,2938,A Major
Whiteroom,Someday (Ørjan Nilsen remix) (feat. Amy Cooper),2925,A Major
Eric Clapton,Tears in Heaven (acoustic),2915,A Major
Judas Priest,You’ve Got Another Thing Comin’,2886,A Major
John Mayer,Heartbreak Warfare,2853,A Major
The Cure,Just Like Heaven,2843,A Major
Belinda Carlisle,Mad About You,2821,A Major
The Rembrandts,I'll Be There for You,2806,A Major
Boz Scaggs,Lowdown,2796,A Major
The Cinematic Orchestra,To Build a Home,2771,A Major
Chic,Le Freak,2748,A Major
Grace Potter and the Nocturnals,Paris,2742,A Major
The Beatles,Oh! Darling,2726,A Major
Backstreet Boys,Show Me the Meaning,2695,A Major
Fall Out Boy,Immortals,2673,A Major
Barry Manilow,Bandstand Boogie,2654,A Major
Darius Rucker,Wagon Wheel,2652,A Major
blink‐182,Rock Show,2652,A Major
Sade,Your Love Is King,2643,A Major
Donny Hathaway,This Christmas,2635,A Major
John Mayer,Come Back to Bed,2625,A Major
Colbie Caillat,Bubbly,2596,A Major
Pink Floyd,In the Flesh?,2583,A Major
Tal Bachman,She’s So High,2574,A Major
André Rieu,Pie Jesu,2571,A Major
Daft Punk,Get Lucky (radio edit),2554,A Major
Lynyrd Skynyrd,Call Me the Breeze,2534,A Major
Jet,Are You Gonna Be My Girl?,2521,A Major
Goo Goo Dolls,Name,2511,A Major
Queen,It’s Late,2508,A Major
David Bowie,Rebel Rebel,2494,A Major
Led Zeppelin,Misty Mountain Hop,2489,A Major
B.B. King,Thrill Is Gone,2488,A Major
Linkin Park,Bleed It Out,2462,A Major
Carrie Underwood,Before He Cheats,2456,A Major
Rise Against,I Don’t Want to Be Here Anymore,2453,A Major
Dire Straits,Lady Writer,2447,A Major
AC-DC,Shoot to Thrill,2447,A Major
P!nk,Who Knew,2446,A Major
Tracy Chapman,Fast Car,2432,A Major
Queen,Love of My Life,2411,A Major
Led Zeppelin,In the Light,2407,A Major
Chance the Rapper,Chain Smoker,2406,A Major
Backstreet Boys,Bye Bye Love,2399,A Major
Anita Baker,Caught Up in the Rapture,2377,A Major
Jason Derulo,The Other Side,2373,A Major
Pentatonix,"Mary, Did You Know",2369,A Major
Cheap Trick,I Want You to Want Me,2358,A Major
The Cars,Let’s Go,2337,A Major
Avicii,Waiting for Love,2336,A Major
The Strokes,Someday,2333,A Major
